iter	Passed	Remaining
794	129942	16215076
795	130107	16215033
796	130270	16214865
797	130425	16213610
798	130618	16217087
799	130773	16215871
800	130989	16222237
801	131198	16227680
802	131374	16229135
803	131534	16228482
804	131704	16229047
805	131850	16226766
806	132018	16227148
807	132198	16228941
808	132355	16227999
809	132518	16227812
810	132677	16227119
811	132844	16227350
812	133006	16226944
813	133129	16221785
814	133291	16221527
815	133433	16218677
816	133613	16220585
817	133785	16221373
818	133939	16220071
819	134109	16220696
820	134290	16222605
821	134478	16225488
822	134639	16224990
823	134803	16224861
824	134984	16226828
825	135136	16225248
826	135303	16225402
827	135455	16223945
828	135624	16224403
829	135795	16225156
830	135987	16228362
831	136195	16233470
832	136407	16239056
833	136581	16240049
834	136762	16241920
835	136963	16246258
836	137153	16249160
837	137297	16246651
838	137456	16245926
839	137605	16243957
840	137756	16242336
841	137924	16242715
842	138145	16249269
843	138333	16251863
844	138499	16251920
845	138663	16251779
846	138801	16248658
847	138982	16250499
848	139202	16256796
849	139362	16256275
850	139496	16252623
851	139687	16255503
852	139862	16256701
853	140037	16257760
854	140181	16255308
855	140348	16255453
856	140552	16259974
857	140697	16257562
858	140883	16260021
859	141034	16258334
860	141182	16256336
861	141331	16254438
862	141530	16258351
863	141716	16260613
864	141913	16264220
865	142099	16266563
866	142316	16272500
867	142490	16273456
868	142635	16271154
869	142790	16269929
870	142974	16272022
871	143122	16270039
872	143298	16271226
873	143472	16272160
874	143617	16269795
875	143786	16270197
876	143928	16267517
877	144094	16267588
878	144270	16268801
879	144433	16268477
880	144597	16268279
881	144734	16265021
882	144876	16262446
883	145037	16261932
884	145191	16260673
885	145341	16258908
886	145514	16259753
887	145722	16264511
888	145900	16265873
889	146049	16264059
890	146222	16264839
891	146399	16266122
892	146558	16265408
893	146722	16265172
894	146885	16264865
895	147059	16265810
896	147198	16262898
897	147384	16265147
898	147556	16265886
899	147771	16271268
900	147937	16271341
901	148082	16269099
902	148214	16265316
903	148358	16262954
904	148530	16263699
905	148688	16262887
906	148908	16268747
907	149064	16267678
908	149212	16265853
909	149384	16266459
910	149544	16265900
911	149699	16264764
912	149882	16266604
913	150041	16265919
914	150218	16267138
915	150372	16265866
916	150551	16267312
917	150707	16266190
918	150861	16264965
919	151045	16266956
920	151195	16265280
921	151412	16270775
922	151578	16270837
923	151731	16269449
924	151899	16269630
925	152062	16269403
926	152247	16271410
927	152396	16269649
928	152585	16272115
929	152808	16278185
930	152954	16276092
931	153110	16275072
932	153264	16273823
933	153452	16276166
934	153638	16278289
935	153799	16277730
936	153973	16278596
937	154131	16277838
938	154301	16278245
939	154495	16281239
940	154676	16282776
941	154818	16280246
942	154973	16279129
943	155147	16279996
944	155337	16282442
945	155496	16281773
946	155662	16281794
947	155846	16283656
948	156047	16287266
949	156193	16285201
950	156361	16285474
951	156521	16284813
952	156702	16286411
953	156875	16287052
954	157054	16288460
955	157238	16290324
956	157408	16290724
957	157606	16294015
958	157761	16292905
959	157922	16292332
960	158097	16293283
961	158244	16291268
962	158414	16291686
963	158609	16294619
964	158796	16296748
965	159019	16302627
966	159210	16305113
967	159357	16303192
968	159503	16301110
969	159643	16298426
970	159793	16296761
971	159953	16296199
972	160135	16297787
973	160314	16299127
974	160507	16301809
975	160669	16301397
976	160811	16298862
977	160987	16299873
978	161157	16300243
979	161353	16303260
980	161514	16302775
981	161713	16306030
982	161886	16306761
983	162032	16304640
984	162217	16306535
985	162373	16305576
986	162523	16303936
987	162692	16304197
988	162834	16301733
989	163046	16306264
990	163201	16305116
991	163362	16304636
992	163519	16303665
993	163685	16303637
994	163852	16303781
995	164001	16302062
996	164174	16302627
997	164332	16301885
998	164489	16300903
999	164636	16298984
1000	164804	16299167
1001	164966	16298793
1002	165142	16299746
1003	165306	16299504
1004	165488	16300999
1005	165648	16300380
1006	165849	16303852
1007	166045	16306767
1008	166227	16308298
1009	166385	16307446
1010	166532	16305529
1011	166720	16307682
1012	166891	16308099
1013	167075	16309786
1014	167217	16307447
1015	167379	16307013
1016	167567	16309063
1017	167724	16308157
1018	167902	16309259
1019	168071	16309498
1020	168256	16311311
1021	168405	16309581
1022	168588	16311200
1023	168771	16312802
1024	169011	16319887
1025	169152	16317464
1026	169299	16315536
1027	169460	16314996
1028	169601	16312532
1029	169746	16310520
1030	169889	16308260
1031	170059	16308535
1032	170250	16310923
1033	170435	16312698
1034	170626	16315040
1035	170805	16316191
1036	170967	16315796
1037	171161	16318427
1038	171324	16318033
1039	171470	16316106
1040	171631	16315553
1041	171791	16314885
1042	171957	16314812
1043	172109	16313489
1044	172268	16312716
1045	172408	16310269
1046	172552	16308140
1047	172711	16307378
1048	172893	16308806
1049	173034	16306451
1050	173243	16310398
1051	173383	16307951
1052	173555	16308463
1053	173717	16308026
1054	173866	16306327
1055	174053	16308278
1056	174213	16307655
1057	174380	16307717
1058	174578	16310684
1059	174744	16310543
1060	174948	16314067
1061	175103	16312983
1062	175260	16312082
1063	175403	16309842
1064	175569	16309837
1065	175717	16308133
1066	175861	16305957
1067	176008	16304213
1068	176151	16301994
1069	176295	16299918
1070	176459	16299676
1071	176619	16299097
1072	176788	16299322
1073	177030	16306254
1074	177190	16305621
1075	177381	16307932
1076	177548	16307917
1077	177689	16305571
1078	177831	16303266
1079	177975	16301277
1080	178163	16303172
1081	178321	16302448
1082	178481	16301827
1083	178626	16299828
1084	178813	16301693
1085	178985	16302206
1086	179129	16300149
1087	179321	16302471
1088	179497	16303256
1089	179667	16303572
1090	179860	16305966
1091	180033	16306573
1092	180168	16303642
1093	180339	16304077
1094	180473	16301092
1095	180661	16303077
1096	180801	16300690
1097	180962	16300143
1098	181113	16298745
1099	181307	16301233
1100	181448	16298848
1101	181625	16299852
1102	181792	16299849
1103	181978	16301541
1104	182127	16299970
1105	182280	16298787
1106	182449	16298966
1107	182591	16296789
1108	182734	16294651
1109	182873	16292203
1110	183043	16292560
1111	183228	16294191
1112	183370	16291943
1113	183540	16292225
1114	183708	16292370
1115	183911	16295639
1116	184056	16293726
1117	184210	16292594
1118	184399	16294528
1119	184563	16294292
1120	184733	16294624
1121	184911	16295618
1122	185085	16296275
1123	185251	16296162
1124	185405	16295110
1125	185585	16296290
1126	185760	16296984
1127	185924	16296740
1128	186098	16297418
1129	186259	16296842
1130	186434	16297647
1131	186612	16298577
1132	186785	16299101
1133	186921	16296488
1134	187066	16294557
1135	187250	16296074
1136	187414	16295834
1137	187559	16293956
1138	187699	16291636
1139	187853	16290537
1140	188027	16291152
1141	188177	16289673
1142	188354	16290578
1143	188496	16288502
1144	188653	16287633
1145	188811	16286880
1146	188963	16285595
1147	189162	16288433
1148	189314	16287168
1149	189474	16286563
1150	189623	16285013
1151	189790	16285065
1152	189962	16285526
1153	190135	16286109
1154	190333	16288747
1155	190478	16286878
1156	190647	16287114
1157	190842	16289476
1158	191008	16289448
1159	191166	16288740
1160	191326	16288158
1161	191496	16288431
1162	191699	16291519
1163	191847	16289894
1164	191990	16287889
1165	192174	16289375
1166	192323	16287805
1167	192538	16291893
1168	192703	16291753
1169	192888	16293301
1170	193032	16291364
1171	193198	16291275
1172	193341	16289274
1173	193508	16289300
1174	193697	16291226
1175	193885	16292981
1176	194037	16291715
1177	194222	16293271
1178	194385	16292952
1179	194553	16293016
1180	194693	16290759
1181	194849	16289849
1182	194980	16286880
1183	195166	16288521
1184	195343	16289326
1185	195518	16290018
1186	195688	16290294
1187	195880	16292349
1188	196027	16290732
1189	196189	16290308
1190	196332	16288357
1191	196507	16289051
1192	196659	16287766
1193	196824	16287663
1194	197001	16288457
1195	197159	16287750
1196	197306	16286079
1197	197455	16284615
1198	197627	16285090
1199	197815	16286816
1200	197970	16285819
1201	198142	16286225
1202	198289	16284663
1203	198477	16286367
1204	198620	16284384
1205	198767	16282764
1206	198942	16283471
1207	199104	16283027
1208	199320	16287053
1209	199485	16286901
1210	199624	16284661
1211	199782	16283921
1212	199986	16286913
1213	200151	16286807
1214	200300	16285324
1215	200451	16284084
1216	200628	16284894
1217	200790	16284467
1218	200979	16286261
1219	201120	16284172
1220	201261	16282063
1221	201410	16280617
1222	201568	16279897
1223	201709	16277804
1224	201882	16278327
1225	202077	16280575
1226	202253	16281328
1227	202434	16282430
1228	202590	16281573
1229	202734	16279737
1230	202904	16279986
1231	203066	16279634
1232	203247	16280748
1233	203392	16278947
1234	203553	16278491
1235	203702	16277067
1236	203882	16278114
1237	204049	16278103
1238	204211	16277729
1239	204410	16280337
1240	204575	16280175
1241	204767	16282163
1242	204937	16282413
1243	205106	16282553
1244	205254	16281064
1245	205428	16281608
1246	205626	16284052
1247	205793	16284067
1248	205930	16281703
1249	206075	16279958
1250	206236	16279475
1251	206414	16280336
1252	206590	16281073
1253	206769	16282003
1254	206942	16282496
1255	207092	16281160
1256	207257	16280969
1257	207412	16280076
1258	207562	16278731
1259	207742	16279766
1260	207908	16279708
1261	208077	16279834
1262	208245	16279893
1263	208405	16279365
1264	208561	16278488
1265	208737	16279250
1266	208948	16282629
1267	209121	16283086
1268	209338	16286976
1269	209520	16288191
1270	209667	16286587
1271	209862	16288726
1272	210009	16287238
1273	210159	16285886
1274	210310	16284639
1275	210497	16286145
1276	210648	16284936
1277	210833	16286305
1278	210995	16285916
1279	211151	16285067
1280	211317	16284977
1281	211464	16283437
1282	211613	16282025
1283	211765	16280882
1284	211924	16280290
1285	212096	16280605
1286	212283	16282139
1287	212495	16285640
1288	212660	16285426
1289	212810	16284120
1290	212983	16284595
1291	213176	16286525
1292	213357	16287611
1293	213537	16288583
1294	213728	16290401
1295	213878	16289110
1296	214026	16287604
1297	214172	16286001
1298	214358	16287422
1299	214502	16285658
1300	214721	16289616
1301	214885	16289365
1302	215056	16289658
1303	215216	16289096
1304	215397	16290134
1305	215580	16291384
1306	215735	16290431
1307	215896	16289917
1308	216036	16287914
1309	216236	16290374
1310	216377	16288383
1311	216516	16286244
1312	216655	16284175
1313	216847	16285994
1314	217010	16285701
1315	217159	16284320
1316	217338	16285241
1317	217531	16287134
1318	217695	16286919
1319	217869	16287385
1320	218045	16288081
1321	218215	16288220
1322	218358	16286407
1323	218499	16284483
1324	218654	16283542
1325	218808	16282570
1326	218989	16283618
1327	219159	16283830
1328	219348	16285442
1329	219519	16285707
1330	219710	16287459
1331	219883	16287853
1332	220064	16288885
1333	220239	16289496
1334	220399	16288956
1335	220554	16288032
1336	220730	16288631
1337	220887	16287887
1338	221061	16288418
1339	221212	16287194
1340	221376	16286949
1341	221538	16286568
1342	221707	16286693
1343	221860	16285613
1344	222030	16285811
1345	222244	16289198
1346	222437	16291116
